,"Culture serum(FBS=0,horse =1)","Stretching direction(Radial=0,Uniaxial=1)","Cyclic or static stretching(Cyclic=0,static=1)",Continuous(0) or intermittent(1),"Amplitude (%) (3%=0,8%-9%, 10%=1,15%=2,20%=3)",Effective stretching duration (h),Increased (1) or inhibited (0) differentiation
0,-0.9128709291752769,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,2.0447218324294507,-0.41891431184023115,-1.8439088914585773
1,1.0954451150103321,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,-0.7024870767782339,0.5423261445466404
2,-0.9128709291752769,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,0.7594681091880816,0.14823121803577413,0.5423261445466404
3,1.0954451150103321,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,0.7153767479117794,0.5423261445466404
4,-0.9128709291752769,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,-0.8442734592472351,0.5423261445466404
5,1.0954451150103321,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,0.7594681091880816,-0.41891431184023115,0.5423261445466404
6,1.0954451150103321,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,-1.8110393372946565,-0.41891431184023115,0.5423261445466404
7,1.0954451150103321,-0.4714045207910318,-0.6831300510639732,2.121320343559643,-0.5257856140532875,1.2825222777877847,0.5423261445466404
8,1.0954451150103321,-0.4714045207910318,-0.6831300510639732,2.121320343559643,-0.5257856140532875,1.8496678076637902,-1.8439088914585773
9,-0.9128709291752769,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,0.7594681091880816,-0.7024870767782339,0.5423261445466404
10,1.0954451150103321,2.121320343559643,-0.6831300510639732,2.121320343559643,-1.8110393372946565,2.4168133375397955,-1.8439088914585773
11,-0.9128709291752769,-0.4714045207910318,-0.6831300510639732,2.121320343559643,0.7594681091880816,1.8496678076637902,-1.8439088914585773
12,1.0954451150103321,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,0.7594681091880816,-0.9387977142265693,0.5423261445466404
13,-0.9128709291752769,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,-0.9151666504817357,0.5423261445466404
14,-0.9128709291752769,2.121320343559643,-0.6831300510639732,-0.4714045207910318,-0.5257856140532875,-0.41891431184023115,0.5423261445466404
15,-0.9128709291752769,2.121320343559643,-0.6831300510639732,-0.4714045207910318,-0.5257856140532875,-0.9624287779714029,0.5423261445466404
16,-0.9128709291752769,2.121320343559643,-0.6831300510639732,-0.4714045207910318,0.7594681091880816,-0.41891431184023115,0.5423261445466404
17,-0.9128709291752769,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,2.0447218324294507,-0.41891431184023115,-1.8439088914585773
18,1.0954451150103321,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,-0.7024870767782339,0.5423261445466404
19,-0.9128709291752769,-0.4714045207910318,-0.6831300510639732,-0.4714045207910318,0.7594681091880816,0.14823121803577413,0.5423261445466404
20,1.0954451150103321,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,0.7153767479117794,0.5423261445466404
21,-0.9128709291752769,-0.4714045207910318,1.4638501094227998,-0.4714045207910318,-0.5257856140532875,-0.8442734592472351,0.5423261445466404
