Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
5-PET,6,2134.969,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,9,2547.239,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,12,2488.344,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,15,2341.104,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET-AAc,3,2046.626,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,6,2179.141,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,9,2503.067,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,12,2414.724,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,15,2414.724,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-Gal,3,2988.957,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,6,3548.466,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,9,4211.043,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,12,4196.319,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,15,4211.043,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gel,3,3121.472,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,6,3548.466,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,9,3887.117,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,12,3577.914,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
5-PET-Gel,15,3180.368,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698.0,0,,,,
8-PVA,2,84.106,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,4,92.715,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,7,141.722,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,11,182.781,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,14,169.536,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,18,154.967,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,21,129.801,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
9-hexagonal,2,34.65,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-hexagonal,6,43.04,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-hexagonal,9,39.939,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-hexagonal,15,42.31,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-squared,2,29.544,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
9-squared,6,33.009,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
9-squared,9,42.857,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
9-squared,15,40.304,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
10-Hep,1,35.717,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,3,30.047,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,5,27.213,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,7,21.402,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,10,10.63,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,15,4.961,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,1,45.921,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,3,41.953,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,5,35.858,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,7,29.622,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,10,22.961,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,15,19.559,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,1,43.937,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,3,38.693,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,5,31.89,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,7,26.646,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,10,21.402,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,15,18.0,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,1,48.189,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,3,44.646,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,5,40.394,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,7,33.307,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,10,28.63,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,15,24.661,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,1,22.318,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,3,19.332,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
