Feature,Day,Urea,Cell,Coat,Cell Seeding,Co-Cell Seeding
spheroid-8-1,24,,10.0,1.13,0.1,-1.0
spheroid-8-1,25,,10.0,1.13,0.1,-1.0
spheroid-8-1,26,,10.0,1.13,0.1,-1.0
spheroid-8-1,27,,10.0,1.13,0.1,-1.0
spheroid-8-1,28,,10.0,1.13,0.1,-1.0
spheroid-8-1,29,,10.0,1.13,0.1,-1.0
spheroid-8-1,30,,10.0,1.13,0.1,-1.0
spheroid-8-1,31,,10.0,1.13,0.1,-1.0
spheroid-8-1,32,,10.0,1.13,0.1,-1.0
spheroid-8-1,33,,10.0,1.13,0.1,-1.0
spheroid-8-1,34,,10.0,1.13,0.1,-1.0
spheroid-8-1,35,,10.0,1.13,0.1,-1.0
spheroid-8-1,36,,10.0,1.13,0.1,-1.0
spheroid-8-1,37,,10.0,1.13,0.1,-1.0
spheroid-8-1,38,,10.0,1.13,0.1,-1.0
spheroid-8-1,39,,10.0,1.13,0.1,-1.0
spheroid-8-1,40,,10.0,1.13,0.1,-1.0
spheroid-8-1,41,,10.0,1.13,0.1,-1.0
spheroid-8-1,42,,10.0,1.13,0.1,-1.0
spheroid-8-1,43,,10.0,1.13,0.1,-1.0
spheroid-8-1,44,,10.0,1.13,0.1,-1.0
spheroid-8-1,45,,10.0,1.13,0.1,-1.0
spheroid-8-1,46,,10.0,1.13,0.1,-1.0
spheroid-8-1,47,,10.0,1.13,0.1,-1.0
spheroid-8-1,48,,10.0,1.13,0.1,-1.0
spheroid-8-1,49,,10.0,1.13,0.1,-1.0
spheroid-8-1,50,,10.0,1.13,0.1,-1.0
spheroid-8-1,51,,10.0,1.13,0.1,-1.0
spheroid-8-1,52,,10.0,1.13,0.1,-1.0
spheroid-8-1,53,,10.0,1.13,0.1,-1.0
spheroid-8-1,54,,10.0,1.13,0.1,-1.0
spheroid-8-1,55,,10.0,1.13,0.1,-1.0
spheroid-8-1,56,,10.0,1.13,0.1,-1.0
spheroid-8-1,57,,10.0,1.13,0.1,-1.0
spheroid-8-1,58,,10.0,1.13,0.1,-1.0
spheroid-8-1,59,,10.0,1.13,0.1,-1.0
spheroid-8-1,60,,10.0,1.13,0.1,-1.0
spheroid-8-2,6,,10.0,1.0,0.1,-1.0
spheroid-8-2,7,,10.0,1.0,0.1,-1.0
spheroid-8-2,8,,10.0,1.0,0.1,-1.0
spheroid-8-2,9,,10.0,1.0,0.1,-1.0
spheroid-8-2,10,,10.0,1.0,0.1,-1.0
spheroid-8-2,11,,10.0,1.0,0.1,-1.0
spheroid-8-2,12,,10.0,1.0,0.1,-1.0
spheroid-8-2,13,,10.0,1.0,0.1,-1.0
spheroid-8-2,14,,10.0,1.0,0.1,-1.0
spheroid-8-2,15,,10.0,1.0,0.1,-1.0
spheroid-8-2,16,,10.0,1.0,0.1,-1.0
spheroid-8-2,17,,10.0,1.0,0.1,-1.0
spheroid-8-2,18,,10.0,1.0,0.1,-1.0
spheroid-8-2,19,,10.0,1.0,0.1,-1.0
spheroid-8-2,20,,10.0,1.0,0.1,-1.0
spheroid-8-2,21,,10.0,1.0,0.1,-1.0
spheroid-8-2,22,,10.0,1.0,0.1,-1.0
spheroid-8-2,23,,10.0,1.0,0.1,-1.0
spheroid-8-2,24,,10.0,1.0,0.1,-1.0
spheroid-8-2,25,,10.0,1.0,0.1,-1.0
spheroid-8-2,26,,10.0,1.0,0.1,-1.0
spheroid-8-2,27,,10.0,1.0,0.1,-1.0
spheroid-8-2,28,,10.0,1.0,0.1,-1.0
spheroid-8-2,29,,10.0,1.0,0.1,-1.0
spheroid-8-2,30,,10.0,1.0,0.1,-1.0
spheroid-8-2,31,,10.0,1.0,0.1,-1.0
spheroid-8-2,32,,10.0,1.0,0.1,-1.0
spheroid-8-2,33,,10.0,1.0,0.1,-1.0
spheroid-8-2,34,,10.0,1.0,0.1,-1.0
spheroid-8-2,35,,10.0,1.0,0.1,-1.0
spheroid-8-2,36,,10.0,1.0,0.1,-1.0
spheroid-8-2,37,,10.0,1.0,0.1,-1.0
spheroid-8-2,38,,10.0,1.0,0.1,-1.0
spheroid-8-2,39,,10.0,1.0,0.1,-1.0
spheroid-8-2,40,,10.0,1.0,0.1,-1.0
spheroid-8-2,41,,10.0,1.0,0.1,-1.0
spheroid-8-2,42,,10.0,1.0,0.1,-1.0
spheroid-8-2,43,,10.0,1.0,0.1,-1.0
spheroid-8-2,44,,10.0,1.0,0.1,-1.0
spheroid-8-2,45,,10.0,1.0,0.1,-1.0
spheroid-8-2,46,,10.0,1.0,0.1,-1.0
spheroid-8-2,47,,10.0,1.0,0.1,-1.0
spheroid-8-2,48,,10.0,1.0,0.1,-1.0
spheroid-8-2,49,,10.0,1.0,0.1,-1.0
spheroid-8-2,50,,10.0,1.0,0.1,-1.0
spheroid-8-2,51,,10.0,1.0,0.1,-1.0
spheroid-8-2,52,,10.0,1.0,0.1,-1.0
spheroid-8-2,53,,10.0,1.0,0.1,-1.0
spheroid-8-2,54,,10.0,1.0,0.1,-1.0
spheroid-8-2,55,,10.0,1.0,0.1,-1.0
spheroid-8-2,56,,10.0,1.0,0.1,-1.0
spheroid-8-2,57,,10.0,1.0,0.1,-1.0
spheroid-8-2,58,,10.0,1.0,0.1,-1.0
spheroid-8-2,59,,10.0,1.0,0.1,-1.0
spheroid-8-2,60,,10.0,1.0,0.1,-1.0
spheroid-8-3,6,,10.23,1.13,0.1,0.4
spheroid-8-3,7,,10.23,1.13,0.1,0.4
spheroid-8-3,8,,10.23,1.13,0.1,0.4
spheroid-8-3,9,,10.23,1.13,0.1,0.4
spheroid-8-3,10,,10.23,1.13,0.1,0.4
spheroid-8-3,11,,10.23,1.13,0.1,0.4
spheroid-8-3,12,,10.23,1.13,0.1,0.4
spheroid-8-3,13,,10.23,1.13,0.1,0.4
spheroid-8-3,14,,10.23,1.13,0.1,0.4
spheroid-8-3,15,,10.23,1.13,0.1,0.4
spheroid-8-3,16,,10.23,1.13,0.1,0.4
spheroid-8-3,17,,10.23,1.13,0.1,0.4
spheroid-8-3,18,,10.23,1.13,0.1,0.4
spheroid-8-3,19,,10.23,1.13,0.1,0.4
spheroid-8-3,20,,10.23,1.13,0.1,0.4
spheroid-8-3,21,,10.23,1.13,0.1,0.4
spheroid-8-3,22,,10.23,1.13,0.1,0.4
spheroid-8-3,23,,10.23,1.13,0.1,0.4
spheroid-8-3,24,,10.23,1.13,0.1,0.4
spheroid-8-3,25,,10.23,1.13,0.1,0.4
spheroid-8-3,26,,10.23,1.13,0.1,0.4
spheroid-8-3,27,,10.23,1.13,0.1,0.4
spheroid-8-3,28,,10.23,1.13,0.1,0.4
spheroid-8-3,29,,10.23,1.13,0.1,0.4
spheroid-8-3,30,,10.23,1.13,0.1,0.4
spheroid-8-3,31,,10.23,1.13,0.1,0.4
spheroid-8-3,32,,10.23,1.13,0.1,0.4
spheroid-8-3,33,,10.23,1.13,0.1,0.4
spheroid-8-3,34,,10.23,1.13,0.1,0.4
spheroid-8-3,35,,10.23,1.13,0.1,0.4
spheroid-8-3,36,,10.23,1.13,0.1,0.4
spheroid-8-3,37,,10.23,1.13,0.1,0.4
spheroid-8-3,38,,10.23,1.13,0.1,0.4
spheroid-8-3,39,,10.23,1.13,0.1,0.4
spheroid-8-3,40,,10.23,1.13,0.1,0.4
spheroid-8-3,41,,10.23,1.13,0.1,0.4
spheroid-8-3,42,,10.23,1.13,0.1,0.4
spheroid-8-3,43,,10.23,1.13,0.1,0.4
spheroid-8-3,44,,10.23,1.13,0.1,0.4
spheroid-8-3,45,,10.23,1.13,0.1,0.4
spheroid-8-3,46,,10.23,1.13,0.1,0.4
spheroid-8-3,47,,10.23,1.13,0.1,0.4
spheroid-8-3,48,,10.23,1.13,0.1,0.4
spheroid-8-3,49,,10.23,1.13,0.1,0.4
spheroid-8-3,50,,10.23,1.13,0.1,0.4
spheroid-8-3,51,,10.23,1.13,0.1,0.4
spheroid-8-3,52,,10.23,1.13,0.1,0.4
spheroid-8-3,53,,10.23,1.13,0.1,0.4
spheroid-8-3,54,,10.23,1.13,0.1,0.4
spheroid-8-3,55,,10.23,1.13,0.1,0.4
spheroid-8-3,56,,10.23,1.13,0.1,0.4
spheroid-8-3,57,,10.23,1.13,0.1,0.4
spheroid-8-3,58,,10.23,1.13,0.1,0.4
spheroid-8-3,59,,10.23,1.13,0.1,0.4
spheroid-8-3,60,,10.23,1.13,0.1,0.4
spheroid-8-4,6,,10.23,1.0,0.1,0.4
spheroid-8-4,7,,10.23,1.0,0.1,0.4
spheroid-8-4,8,,10.23,1.0,0.1,0.4
spheroid-8-4,9,,10.23,1.0,0.1,0.4
spheroid-8-4,10,,10.23,1.0,0.1,0.4
spheroid-8-4,11,,10.23,1.0,0.1,0.4
spheroid-8-4,12,,10.23,1.0,0.1,0.4
spheroid-8-4,13,,10.23,1.0,0.1,0.4
spheroid-8-4,14,,10.23,1.0,0.1,0.4
spheroid-8-4,15,,10.23,1.0,0.1,0.4
spheroid-8-4,16,,10.23,1.0,0.1,0.4
spheroid-8-4,17,,10.23,1.0,0.1,0.4
spheroid-8-4,18,,10.23,1.0,0.1,0.4
spheroid-8-4,19,,10.23,1.0,0.1,0.4
spheroid-8-4,20,,10.23,1.0,0.1,0.4
spheroid-8-4,21,,10.23,1.0,0.1,0.4
spheroid-8-4,22,,10.23,1.0,0.1,0.4
spheroid-8-4,23,,10.23,1.0,0.1,0.4
spheroid-8-4,24,,10.23,1.0,0.1,0.4
spheroid-8-4,25,,10.23,1.0,0.1,0.4
spheroid-8-4,26,,10.23,1.0,0.1,0.4
spheroid-8-4,27,,10.23,1.0,0.1,0.4
spheroid-8-4,28,,10.23,1.0,0.1,0.4
spheroid-8-4,29,,10.23,1.0,0.1,0.4
spheroid-8-4,30,,10.23,1.0,0.1,0.4
spheroid-8-4,31,,10.23,1.0,0.1,0.4
spheroid-8-4,32,,10.23,1.0,0.1,0.4
spheroid-8-4,33,,10.23,1.0,0.1,0.4
spheroid-8-4,34,,10.23,1.0,0.1,0.4
spheroid-8-4,35,,10.23,1.0,0.1,0.4
spheroid-8-4,36,,10.23,1.0,0.1,0.4
spheroid-8-4,37,,10.23,1.0,0.1,0.4
spheroid-8-4,38,,10.23,1.0,0.1,0.4
spheroid-8-4,39,,10.23,1.0,0.1,0.4
spheroid-8-4,40,,10.23,1.0,0.1,0.4
spheroid-8-4,41,,10.23,1.0,0.1,0.4
spheroid-8-4,42,,10.23,1.0,0.1,0.4
spheroid-8-4,43,,10.23,1.0,0.1,0.4
spheroid-8-4,44,,10.23,1.0,0.1,0.4
spheroid-8-4,45,,10.23,1.0,0.1,0.4
spheroid-8-4,46,,10.23,1.0,0.1,0.4
spheroid-8-4,47,,10.23,1.0,0.1,0.4
spheroid-8-4,48,,10.23,1.0,0.1,0.4
spheroid-8-4,49,,10.23,1.0,0.1,0.4
spheroid-8-4,50,,10.23,1.0,0.1,0.4
spheroid-8-4,51,,10.23,1.0,0.1,0.4
spheroid-8-4,52,,10.23,1.0,0.1,0.4
spheroid-8-4,53,,10.23,1.0,0.1,0.4
spheroid-8-4,54,,10.23,1.0,0.1,0.4
spheroid-8-4,55,,10.23,1.0,0.1,0.4
spheroid-8-4,56,,10.23,1.0,0.1,0.4
spheroid-8-4,57,,10.23,1.0,0.1,0.4
spheroid-8-4,58,,10.23,1.0,0.1,0.4
spheroid-8-4,59,,10.23,1.0,0.1,0.4
spheroid-8-4,60,,10.23,1.0,0.1,0.4
spheroid-13,2,,8.0,1.0,0.2,-1.0
spheroid-13,4,,8.0,1.0,0.2,-1.0
spheroid-13,5,,8.0,1.0,0.2,-1.0
spheroid-13,6,,8.0,1.0,0.2,-1.0
spheroid-13,7,,8.0,1.0,0.2,-1.0
spheroid-13,8,,8.0,1.0,0.2,-1.0
spheroid-13,10,,8.0,1.0,0.2,-1.0
spheroid-13,11,,8.0,1.0,0.2,-1.0
spheroid-13,13,,8.0,1.0,0.2,-1.0
spheroid-13,14,,8.0,1.0,0.2,-1.0
spheroid-13,16,,8.0,1.0,0.2,-1.0
spheroid-13,17,,8.0,1.0,0.2,-1.0
spheroid-13,19,,8.0,1.0,0.2,-1.0
spheroid-13,20,,8.0,1.0,0.2,-1.0
spheroid-13,21,,8.0,1.0,0.2,-1.0
spheroid-13,23,,8.0,1.0,0.2,-1.0
spheroid-13,24,,8.0,1.0,0.2,-1.0
spheroid-13,25,,8.0,1.0,0.2,-1.0
spheroid-13,26,,8.0,1.0,0.2,-1.0
spheroid-13,27,,8.0,1.0,0.2,-1.0
spheroid-13,28,,8.0,1.0,0.2,-1.0
spheroid-13,30,,8.0,1.0,0.2,-1.0
spheroid-13,31,,8.0,1.0,0.2,-1.0
