Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
8-Co-culture + FCS,5,148.678,10.23,0.25,0.4,110,2,-1,4.5,0,1
8-Co-culture - FCS,1,3558.37,10.23,0.25,0.4,110,2,-1,4,0,1
8-Co-culture - FCS,2,455.947,10.23,0.25,0.4,110,2,-1,4,0,1
8-Co-culture - FCS,3,505.507,10.23,0.25,0.4,110,2,-1,4,0,1
8-Co-culture - FCS,4,208.15,10.23,0.25,0.4,110,2,-1,4,0,1
8-Co-culture - FCS,5,188.326,10.23,0.25,0.4,110,2,-1,4,0,1
9-donor B,3,881.437,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,4,552.695,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,5,364.072,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,9,434.132,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,10,148.503,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,11,466.467,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,12,342.515,8,0.2,-1,81,2,-1,-1,2500,1
11-spheroid,21,52.661,22,1,-1,100,2,-1,-1,0,1
12-spheroid,7,202.478,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,8,189.735,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,10,177.699,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,11,157.876,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,12,157.168,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,13,184.779,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,14,168.496,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,15,162.124,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,16,157.168,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,18,129.558,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,19,135.929,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,21,174.159,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,25,178.407,8,0.6,-1,200,2,-1,8,800,1
13-5C,1,643.564,8,0.015,-1,,2,-1,4,0,1
13-5C,3,617.162,8,0.015,-1,,2,-1,4,0,1
13-5C,9,693.069,8,0.015,-1,,2,-1,4,0,1
13-5C,12,854.785,8,0.015,-1,,2,-1,4,0,1
13-5C,15,772.277,8,0.015,-1,,2,-1,4,0,1
13-5C,18,755.776,8,0.015,-1,,2,-1,4,0,1
13-5C,22,686.469,8,0.015,-1,,2,-1,4,0,1
13-5C,25,686.469,8,0.015,-1,,2,-1,4,0,1
13-5C,29,551.155,8,0.015,-1,,2,-1,4,0,1
13-3D,9,528.053,8,0.015,-1,,2,-1,-1,0,1
13-3D,12,656.766,8,0.015,-1,,2,-1,-1,0,1
13-3D,15,805.281,8,0.015,-1,,2,-1,-1,0,1
13-3D,18,600.66,8,0.015,-1,,2,-1,-1,0,1
13-3D,22,445.545,8,0.015,-1,,2,-1,-1,0,1
13-3D,25,379.538,8,0.015,-1,,2,-1,-1,0,1
13-3D,29,419.142,8,0.015,-1,,2,-1,-1,0,1
c5-static co,3,25.442,8.24,1,0.25,150,2,-1,-1,0,1
c5-static co,7,35.733,8.24,1,0.25,150,2,-1,-1,0,1
c17-spheroid,2,284.946,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,4,198.925,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,6,163.978,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,8,123.656,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,12,153.226,10,0.1,-1,,1,3,3.9,0,1
c17-spheroid,14,180.108,10,0.1,-1,,1,3,3.9,0,1
1-PHH,1,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,2,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,3,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,5,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,6,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,8,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,9,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,10,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,11,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,12,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,13,,8,0.02,-1,,2,-1,-1,0,1
