Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
spheroid-2,24,0.003,19.0,1.0,0.02,-1.0
spheroid-2,27,0.003,19.0,1.0,0.02,-1.0
spheroid-4,3,13.043,8.0,1.0,0.6,-1.0
spheroid-4,5,5.217,8.0,1.0,0.6,-1.0
spheroid-4,7,3.652,8.0,1.0,0.6,-1.0
spheroid-4,10,1.391,8.0,1.0,0.6,-1.0
spheroid-6,2,3.545,8.0,1.0,0.18,-1.0
spheroid-6,3,5.236,8.0,1.0,0.18,-1.0
spheroid-6,5,6.327,8.0,1.0,0.18,-1.0
spheroid-7,1,0.338,8.0,1.0,0.5,-1.0
spheroid-7,2,0.409,8.0,1.0,0.5,-1.0
spheroid-7,3,0.712,8.0,1.0,0.5,-1.0
spheroid-7,4,0.765,8.0,1.0,0.5,-1.0
spheroid-7,5,1.032,8.0,1.0,0.5,-1.0
spheroid-7,6,1.619,8.0,1.0,0.5,-1.0
spheroid-7,7,0.836,8.0,1.0,0.5,-1.0
spheroid-10,1,2.178,4.0,14.0,0.04,-1.0
spheroid-13,1,2.919,8.0,1.0,0.2,-1.0
spheroid-13,3,4.456,8.0,1.0,0.2,-1.0
spheroid-13,9,2.684,8.0,1.0,0.2,-1.0
spheroid-13,12,1.824,8.0,1.0,0.2,-1.0
spheroid-13,15,1.642,8.0,1.0,0.2,-1.0
spheroid-13,18,0.912,8.0,1.0,0.2,-1.0
spheroid-13,22,1.042,8.0,1.0,0.2,-1.0
spheroid-13,29,0.808,8.0,1.0,0.2,-1.0
chip-1,3,2.442,4.5,-1.0,1.14,1.14
chip-1,5,2.442,4.5,-1.0,1.14,1.14
chip-1,7,3.581,4.5,-1.0,1.14,1.14
chip-3,1,4.975,10.0,-1.0,0.1,-1.0
chip-3,2,2.239,10.0,-1.0,0.1,-1.0
chip-3,3,2.239,10.0,-1.0,0.1,-1.0
chip-4,2,2.417,8.0,1.0,0.2,-1.0
chip-4,5,8.46,8.0,1.0,0.2,-1.0
chip-4,9,4.835,8.0,1.0,0.2,-1.0
chip-4,13,2.014,8.0,1.0,0.2,-1.0
chip-5,3,25.442,8.0,-1.0,1.0,-1.0
chip-5,7,25.067,8.0,-1.0,1.0,-1.0
chip-6,3,13.081,8.0,1.0,0.6,-1.0
chip-6,5,5.407,8.0,1.0,0.6,-1.0
chip-6,7,3.314,8.0,1.0,0.6,-1.0
chip-6,10,1.047,8.0,1.0,0.6,-1.0
chip-10-1,1,1.716,8.0,4.1,2.75,-1.0
chip-10-1,2,1.103,8.0,4.1,2.75,-1.0
chip-10-1,3,1.348,8.0,4.1,2.75,-1.0
chip-10-1,4,1.593,8.0,4.1,2.75,-1.0
chip-10-1,5,2.206,8.0,4.1,2.75,-1.0
chip-10-1,6,2.696,8.0,4.1,2.75,-1.0
chip-10-1,7,0.98,8.0,4.1,2.75,-1.0
chip-10-1,8,1.593,8.0,4.1,2.75,-1.0
chip-10-1,9,2.941,8.0,4.1,2.75,-1.0
chip-10-1,10,3.676,8.0,4.1,2.75,-1.0
chip-10-2,1,0.858,8.0,4.105,2.75,-1.0
chip-10-2,2,0.49,8.0,4.105,2.75,-1.0
chip-10-2,3,0.735,8.0,4.105,2.75,-1.0
chip-10-2,4,0.49,8.0,4.105,2.75,-1.0
chip-10-2,5,0.735,8.0,4.105,2.75,-1.0
chip-10-2,6,0.368,8.0,4.105,2.75,-1.0
chip-10-2,7,0.49,8.0,4.105,2.75,-1.0
chip-10-2,8,0.49,8.0,4.105,2.75,-1.0
chip-10-2,9,0.368,8.0,4.105,2.75,-1.0
chip-10-2,10,0.49,8.0,4.105,2.75,-1.0
chip-10-3,1,0.244,1.26,4.1,2.75,0.8
chip-10-3,2,0.61,1.26,4.1,2.75,0.8
chip-10-3,3,1.341,1.26,4.1,2.75,0.8
chip-10-3,4,1.951,1.26,4.1,2.75,0.8
chip-10-3,5,3.171,1.26,4.1,2.75,0.8
chip-10-3,6,3.293,1.26,4.1,2.75,0.8
chip-10-3,7,3.049,1.26,4.1,2.75,0.8
chip-10-3,8,2.439,1.26,4.1,2.75,0.8
chip-10-3,9,2.073,1.26,4.1,2.75,0.8
chip-10-3,10,2.073,1.26,4.1,2.75,0.8
chip-10-4,1,0.366,1.26,4.105,2.75,0.8
chip-10-4,2,0.366,1.26,4.105,2.75,0.8
chip-10-4,3,0.366,1.26,4.105,2.75,0.8
chip-10-4,4,0.366,1.26,4.105,2.75,0.8
chip-10-4,5,0.366,1.26,4.105,2.75,0.8
chip-10-4,6,0.366,1.26,4.105,2.75,0.8
chip-10-4,7,0.488,1.26,4.105,2.75,0.8
chip-10-4,8,0.366,1.26,4.105,2.75,0.8
chip-10-4,9,0.244,1.26,4.105,2.75,0.8
chip-10-4,10,0.488,1.26,4.105,2.75,0.8
chip-17-1,2,30.739,10.0,-1.0,0.1,-1.0
chip-17-1,4,19.704,10.0,-1.0,0.1,-1.0
chip-17-1,6,9.852,10.0,-1.0,0.1,-1.0
chip-17-1,8,14.187,10.0,-1.0,0.1,-1.0
chip-17-1,12,8.67,10.0,-1.0,0.1,-1.0
chip-17-1,14,5.123,10.0,-1.0,0.1,-1.0
chip-17-2,2,20.887,10.0,1.0,0.1,-1.0
chip-17-2,4,40.591,10.0,1.0,0.1,-1.0
chip-17-2,6,44.138,10.0,1.0,0.1,-1.0
chip-17-2,8,39.803,10.0,1.0,0.1,-1.0
chip-17-2,12,20.887,10.0,1.0,0.1,-1.0
chip-17-2,14,9.064,10.0,1.0,0.1,-1.0
scaffold-1,1,,8.0,1.3,1.0,-1.0
scaffold-1,3,,8.0,1.3,1.0,-1.0
scaffold-1,4,,8.0,1.3,1.0,-1.0
scaffold-1,5,,8.0,1.3,1.0,-1.0
scaffold-1,6,,8.0,1.3,1.0,-1.0
scaffold-1,8,,8.0,1.3,1.0,-1.0
scaffold-1,9,,8.0,1.3,1.0,-1.0
scaffold-1,10,,8.0,1.3,1.0,-1.0
