Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
10-3D control-PHH,8,61.275,8.0,2.75,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-PHH,9,74.755,8.0,2.75,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-PHH,10,52.696,8.0,2.75,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,1,203.431,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,2,186.275,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,3,151.961,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,4,115.196,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,5,96.814,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,6,88.235,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,7,101.716,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,8,90.686,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,9,87.01,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-PHH,10,94.363,8.0,2.75,-1.0,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,1,80.097,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,2,74.029,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,3,76.456,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,4,74.029,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,5,76.456,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,6,81.311,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,7,89.806,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,8,93.447,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,9,99.515,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D control-iPSC,10,93.447,1.26,2.75,0.8,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,1,76.456,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
