Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
3-PLLA Scaffold,7,3.104,1.0,50.0,-1.0,-1.0,1.0,,-1.0,-1.0,4.1,64.8,0.05,,,0.5,8.0,,,,0,3.2,,0.05,80.0
3-PLLA Scaffold,14,2.141,1.0,50.0,-1.0,-1.0,1.0,,-1.0,-1.0,4.1,64.8,0.05,,,0.5,8.0,,,,0,3.2,,0.05,80.0
3-dECM Scaffold,1,0.474,1.0,50.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.5,8.0,,,,0,6.0,1.0,235.0,1.2
3-dECM Scaffold,3,2.844,1.0,50.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.5,8.0,,,,0,6.0,1.0,235.0,1.2
3-dECM Scaffold,7,3.639,1.0,50.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.5,8.0,,,,0,6.0,1.0,235.0,1.2
3-dECM Scaffold,14,2.248,1.0,50.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.5,8.0,,,,0,6.0,1.0,235.0,1.2
4-static,4,33.962,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-static,8,61.132,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-static,12,153.962,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-static,16,328.302,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
