Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
13-3D,9,528.053,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,12,656.766,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,15,805.281,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,18,600.66,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,22,445.545,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,25,379.538,8.0,0.015,-1.0,,2,-1,-1.0,0,1
13-3D,29,419.142,8.0,0.015,-1.0,,2,-1,-1.0,0,1
c5-static co,3,25.442,8.24,1.0,0.25,150.0,2,-1,-1.0,0,1
c5-static co,7,35.733,8.24,1.0,0.25,150.0,2,-1,-1.0,0,1
c17-spheroid,2,284.946,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,4,198.925,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,6,163.978,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,8,123.656,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,12,153.226,10.0,0.1,-1.0,,1,3,3.9,0,1
c17-spheroid,14,180.108,10.0,0.1,-1.0,,1,3,3.9,0,1
1-PHH,1,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,2,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,3,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,5,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,6,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,8,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,9,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,10,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,11,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,12,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,13,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,15,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,16,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,17,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,18,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,19,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,20,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,22,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,23,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,24,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,25,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,26,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,27,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,28,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,29,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,30,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,31,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,32,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,33,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,34,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,35,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,36,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,37,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,38,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,39,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,40,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,41,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,42,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,43,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,44,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,45,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,46,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,47,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,48,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,49,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,50,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,51,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,52,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,53,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,54,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,55,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,56,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,57,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,58,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,59,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,60,,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,1,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,2,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,3,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,5,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,6,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,8,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,9,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,10,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,11,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,12,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,13,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,15,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,16,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,17,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,18,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,19,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,20,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,22,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,23,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,24,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,25,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,26,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,27,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,28,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,29,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,30,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,31,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,32,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,33,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,34,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,35,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,36,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,37,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,38,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,39,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,40,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,41,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,42,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,43,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,44,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,45,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,46,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,47,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,48,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,49,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
