Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Design,Desi-para1,Desi-para2,Desi-para3
5-PET-AAc,15,0.295,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-Gal,3,0.399,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,6,0.613,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,9,0.867,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,12,0.848,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,15,0.864,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gel,3,0.397,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,6,0.588,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,9,0.594,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,12,0.55,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,15,0.471,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
6-MePS,1,2.348,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,3,5.655,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,5,13.917,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,7,16.727,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,9,21.199,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,11,21.24,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,13,22.501,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,15,22.649,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,17,24.537,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,19,23.181,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,21,22.62,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
7-CF00,7,3.474,8.14,2.5,0.25,-1,12,8,-1,-1,-1,-1,-1,,,5,6,,,,0,1,0.5,18,25
7-CF10,7,8.632,8.14,2.5,0.25,-1,12,8,-1,-1,1,0.008,-1,,,5,6,,,,0,1,0.5,18,25
7-CF01,7,5.056,8.14,2.5,0.25,-1,12,8,-1,-1,2,0.004,-1,,,5,6,,,,0,1,0.5,18,25
7-CF31,7,10.971,8.14,2.5,0.25,-1,12,8,-1,-1,1.2,0.006,0.002,,,5,6,,,,0,1,0.5,18,25
8-PVA,2,11.02,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
8-PVA,4,17.347,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
8-PVA,7,39.592,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
8-PVA,11,51.429,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
8-PVA,14,46.327,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
8-PVA,18,44.49,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
8-PVA,21,43.878,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
9-hexagonal,2,9.119,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.3,,51.3,0,3,,,
9-hexagonal,6,38.298,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.3,,51.3,0,3,,,
9-hexagonal,9,41.216,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.3,,51.3,0,3,,,
9-hexagonal,15,42.31,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.3,,51.3,0,3,,,
