Feature,Day,Urea,Cell,Coat,Cell Seeding,Co-Cell Seeding
chip-3,3,3.58,10,-1,0.1,-1
chip-4,2,1078.075,8,1,0.2,-1
chip-4,5,924.064,8,1,0.2,-1
chip-4,9,898.396,8,1,0.2,-1
chip-4,13,282.353,8,1,0.2,-1
chip-5,3,30.53,8,-1,1,-1
chip-5,7,25.067,8,-1,1,-1
chip-8,2,0.201,4,-1,0.2,-1
chip-8,5,0.192,4,-1,0.2,-1
chip-8,8,0.201,4,-1,0.2,-1
chip-8,11,0.192,4,-1,0.2,-1
chip-8,14,0.192,4,-1,0.2,-1
chip-10,1,84.559,8,4.1,2.75,-1
chip-10,2,66.176,8,4.1,2.75,-1
chip-10,3,57.598,8,4.1,2.75,-1
chip-10,4,50.245,8,4.1,2.75,-1
chip-10,5,41.667,8,4.1,2.75,-1
chip-10,6,37.99,8,4.1,2.75,-1
chip-10,7,39.216,8,4.1,2.75,-1
chip-10,8,40.441,8,4.1,2.75,-1
chip-10,9,37.99,8,4.1,2.75,-1
chip-10,10,41.667,8,4.1,2.75,-1
chip-10,1,72.304,8,4.105,2.75,-1
chip-10,2,77.206,8,4.105,2.75,-1
chip-10,3,55.147,8,4.105,2.75,-1
chip-10,4,30.637,8,4.105,2.75,-1
chip-10,5,15.931,8,4.105,2.75,-1
chip-10,6,4.902,8,4.105,2.75,-1
chip-10,7,17.157,8,4.105,2.75,-1
chip-10,8,20.833,8,4.105,2.75,-1
chip-10,9,25.735,8,4.105,2.75,-1
chip-10,10,22.059,8,4.105,2.75,-1
chip-10,1,75.243,1.26,4.1,2.75,0.8
chip-10,2,66.748,1.26,4.1,2.75,0.8
chip-10,3,58.252,1.26,4.1,2.75,0.8
chip-10,4,54.612,1.26,4.1,2.75,0.8
chip-10,5,50.971,1.26,4.1,2.75,0.8
chip-10,6,48.544,1.26,4.1,2.75,0.8
chip-10,7,47.33,1.26,4.1,2.75,0.8
chip-10,8,43.689,1.26,4.1,2.75,0.8
chip-10,9,41.262,1.26,4.1,2.75,0.8
chip-10,10,46.117,1.26,4.1,2.75,0.8
chip-10,1,70.388,1.26,4.105,2.75,0.8
chip-10,2,59.466,1.26,4.105,2.75,0.8
chip-10,3,43.689,1.26,4.105,2.75,0.8
chip-10,4,46.117,1.26,4.105,2.75,0.8
chip-10,5,42.476,1.26,4.105,2.75,0.8
chip-10,6,40.049,1.26,4.105,2.75,0.8
chip-10,7,38.835,1.26,4.105,2.75,0.8
chip-10,8,38.835,1.26,4.105,2.75,0.8
chip-10,9,38.835,1.26,4.105,2.75,0.8
chip-10,10,36.408,1.26,4.105,2.75,0.8
chip-17,2,64.516,10,-1,0.1,-1
chip-17,4,53.763,10,-1,0.1,-1
chip-17,6,40.323,10,-1,0.1,-1
chip-17,8,16.129,10,-1,0.1,-1
chip-17,12,10.753,10,-1,0.1,-1
chip-17,14,24.194,10,-1,0.1,-1
chip-17,2,94.086,10,1,0.1,-1
chip-17,4,83.333,10,1,0.1,-1
chip-17,6,43.011,10,1,0.1,-1
chip-17,8,40.323,10,1,0.1,-1
chip-17,12,40.323,10,1,0.1,-1
chip-17,14,34.946,10,1,0.1,-1
scaffold-1,1,,8,1.3,1,-1
scaffold-1,3,,8,1.3,1,-1
scaffold-1,4,,8,1.3,1,-1
scaffold-1,5,,8,1.3,1,-1
scaffold-1,6,,8,1.3,1,-1
scaffold-1,8,,8,1.3,1,-1
scaffold-1,9,,8,1.3,1,-1
scaffold-1,10,,8,1.3,1,-1
scaffold-1,12,,8,1.3,1,-1
scaffold-1,13,,8,1.3,1,-1
scaffold-8,1,,5,-1,7.5,-1
scaffold-8,3,,5,-1,7.5,-1
scaffold-8,5,,5,-1,7.5,-1
scaffold-8,6,,5,-1,7.5,-1
scaffold-8,8,,5,-1,7.5,-1
scaffold-8,9,,5,-1,7.5,-1
scaffold-8,10,,5,-1,7.5,-1
scaffold-8,12,,5,-1,7.5,-1
scaffold-8,13,,5,-1,7.5,-1
scaffold-8,15,,5,-1,7.5,-1
scaffold-8,16,,5,-1,7.5,-1
scaffold-8,17,,5,-1,7.5,-1
scaffold-8,19,,5,-1,7.5,-1
scaffold-8,20,,5,-1,7.5,-1
scaffold-9,1,,6,1,0.3,-1
