Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
10-3D terfenadine-PHH,2,5.882,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,3,13.358,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,4,10.539,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,5,15.074,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,6,18.137,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,7,18.137,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,8,15.196,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,9,12.5,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,10,10.417,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,1,0.488,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,2,3.78,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,3,6.707,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,4,8.659,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,5,9.756,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,6,11.707,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,7,13.659,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,8,15.122,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,9,15.244,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,10,15,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,1,0.732,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,2,2.683,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,3,5.732,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,4,6.951,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,5,7.927,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,6,8.902,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,7,9.756,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,8,10.854,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,9,10.732,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,10,9.024,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
11-multi-organ,3,4.467,,0.15,0.25,23,,,-1,-1,-1,-1,1,1,2,,,2,1,,20.5,,-1,,-1
11-multi-organ,7,3.643,,0.15,0.25,23,,,-1,-1,-1,-1,1,1,2,,,2,1,,20.5,,-1,,-1
11-multi-organ,14,5.419,,0.15,0.25,23,,,-1,-1,-1,-1,1,1,2,,,2,1,,20.5,,-1,,-1
12-HepG2,2,0.813,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,3,0.932,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,4,0.761,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,6,0.72,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,8,1.067,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,10,0.668,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,12,0.523,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
12-HepG2,14,0.466,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
